Title,Company,Location,Link
FOIA Data Analyst,Integrated Finance & Accounting Solutions (IFAS),"Washington, DC",https://www.linkedin.com/jobs/view/foia-data-analyst-at-integrated-finance-accounting-solutions-ifas-3929131919?position=10&pageNum=0&refId=rg1j%2BiVqx2Vi4xFio4kkag%3D%3D&trackingId=FH%2FyhCAj6H88lq3BkLcCTw%3D%3D&trk=public_jobs_jserp-result_search-card
b'FOIA Data Analyst',b'Integrated Finance & Accounting Solutions (IFAS)',"b'Washington, DC'",b'https://www.linkedin.com/jobs/view/foia-data-analyst-at-integrated-finance-accounting-solutions-ifas-3929131919?position=10&pageNum=0&refId=rg1j%2BiVqx2Vi4xFio4kkag%3D%3D&trackingId=FH%2FyhCAj6H88lq3BkLcCTw%3D%3D&trk=public_jobs_jserp-result_search-card'
Junior Data Analyst,Simpson Thacher & Bartlett LLP,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/junior-data-analyst-at-simpson-thacher-bartlett-llp-3944071146?position=1&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=9qO%2F5jC%2FwYNZlEbO5oewIA%3D%3D&trk=public_jobs_jserp-result_search-card
b'Junior Data Analyst',b'Simpson Thacher & Bartlett LLP',b'New York City Metropolitan Area',b'https://www.linkedin.com/jobs/view/junior-data-analyst-at-simpson-thacher-bartlett-llp-3944071146?position=1&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=9qO%2F5jC%2FwYNZlEbO5oewIA%3D%3D&trk=public_jobs_jserp-result_search-card'
Associate Data Analyst,Zest AI,United States,https://www.linkedin.com/jobs/view/associate-data-analyst-at-zest-ai-3953016617?position=2&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=J8mdAxFdW%2FvRqICBBQx2Fw%3D%3D&trk=public_jobs_jserp-result_search-card
b'Associate Data Analyst',b'Zest AI',b'United States',b'https://www.linkedin.com/jobs/view/associate-data-analyst-at-zest-ai-3953016617?position=2&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=J8mdAxFdW%2FvRqICBBQx2Fw%3D%3D&trk=public_jobs_jserp-result_search-card'
Data Analyst (Entry Level),Engtal,United States,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-engtal-3954265397?position=3&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=8tmnemhn8zAASiqw%2FyOqCQ%3D%3D&trk=public_jobs_jserp-result_search-card
b'Data Analyst (Entry Level)',b'Engtal',b'United States',b'https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-engtal-3954265397?position=3&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=8tmnemhn8zAASiqw%2FyOqCQ%3D%3D&trk=public_jobs_jserp-result_search-card'
Data Analyst,Atmosfy,United States,https://www.linkedin.com/jobs/view/data-analyst-at-atmosfy-3908475849?position=4&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=8GSYSxso0U20H9%2BtntV%2FoQ%3D%3D&trk=public_jobs_jserp-result_search-card
b'Data Analyst',b'Atmosfy',b'United States',b'https://www.linkedin.com/jobs/view/data-analyst-at-atmosfy-3908475849?position=4&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=8GSYSxso0U20H9%2BtntV%2FoQ%3D%3D&trk=public_jobs_jserp-result_search-card'
Junior Data Analyst,Atria Wealth Solutions,United States,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938787059?position=5&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=Jo4jGOV5xUYfrYGt1twV5A%3D%3D&trk=public_jobs_jserp-result_search-card
b'Junior Data Analyst',b'Atria Wealth Solutions',b'United States',b'https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938787059?position=5&pageNum=0&refId=vOql4rIrLTZhoSATGCeZAw%3D%3D&trackingId=Jo4jGOV5xUYfrYGt1twV5A%3D%3D&trk=public_jobs_jserp-result_search-card'
